word,phonemes
I,AY
YOU,Y UW
HAVE,HH AE V
DO,D UW
HE,HH IY
WE,W IY
NOT,N AA T
BUT,B AH T
THEY,DH EY
SAY,S EY
AT,AE T
FROM,F R AH M
GO,G OW
BY,B AY
SHE,SH IY
MY,M AY
KNOW,N OW
ME,M IY
ALL,AO L
WHO,HH UW
ABOUT,AH B AW T
THEIR,DH EH R
SO,S OW
WOULD,W UH D
MAKE,M EY K
UP,AH P
THINK,TH IH NG K
TIME,T AY M
THERE,DH EH R
SEE,S IY
HER,HH ER
OUT,AW T
COME,K AH M
PEOPLE,P IY P AH L
TAKE,T EY K
YEAR,Y IH R
SOME,S AH M
HOW,HH AW
NOW,N AW
LIKE,L AY K
OTHER,AH DH ER
COULD,K UH D
HERE,HH IY R
THEN,DH EH N
LOOK,L UH K
WAY,W EY
MORE,M AO R
THESE,DH IY Z
NO,N OW
THING,TH IH NG
WELL,W EH L
ALSO,AO L S OW
TWO,T UW
TELL,T EH L
FIRST,F ER S T
MAN,M AE N
DAY,D EY
FIND,F AY N D
GIVE,G IH V
MORE,M AO R
ANY,EH N IY
THOSE,DH OW Z
VERY,V EH R IY
HER,HH ER
NEED,N IY D
BACK,B AE K
THERE,DH EH R
SHOULD,SH UH D
EVEN,IY V IH N
ONLY,OW N L IY
MANY,M EH N IY
WORK,W ER K
LIFE,L AY F
RIGHT,R AY T
DOWN,D AW N
TRY,T R AY
LET,L EH T
SOMETHING,S AH M TH IH NG
TOO,T UW
CALL,K AO L
WOMAN,W UH M AH N
MAY,M EY
STILL,S T IH L
THROUGH,TH R UW
MEAN,M IY N
AFTER,AE F T ER
NEVER,N EH V ER
NO,N OW
WORLD,W ER L D
FEEL,F IY L
YEAH,Y AE
GREAT,G R EY T
LAST,L AE S T
CHILD,CH AY L D
OH,OW
OVER,OW V ER
ASK,AE S K
SCHOOL,S K UW L
STATE,S T EY T
MUCH,M AH CH
TALK,T AO K
OUT,AW T
KEEP,K IY P
LEAVE,L IY V
PUT,P UH T
LIKE,L AY K
HELP,HH EH L P
BIG,B IH G
SAME,S EY M
ALL,AO L
OWN,OW N
START,S T AA R T
THREE,TH R IY
HIGH,HH AY
ANOTHER,AH N AH DH ER
BECOME,B IH K AH M
HAPPEN,HH AE P AH N
OVER,OW V ER
PRESIDENT,P R EH Z IH D AH N T
OLD,OW L D
YES,Y EH S
HOUSE,HH AW S
SHOW,SH OW
STUDENT,S T UW D AH N T
SO,S OW
SEEM,S IY M
MIGHT,M AY T
PART,P AA R T
HEAR,HH IY R
PLACE,P L EY S
PROBLEM,P R AA B L AH M
BELIEVE,B IH L IY V
COUNTRY,K AH N T R IY
WEEK,W IY K
POINT,P OY N T
HAND,HH AE N D
OFF,AO F
PLAY,P L EY
TURN,T ER N
FEW,F Y UW
GROUP,G R UW P
SUCH,S AH CH
RUN,R AH N
GUY,G AY
ABOUT,AH B AW T
CASE,K EY S
WORK,W ER K
NIGHT,N AY T
GAME,G EY M
NUMBER,N AH M B ER
WRITE,R AY T
BRING,B R IH NG
MONEY,M AH N IY
BOOK,B UH K
SYSTEM,S IH S T AH M
GOVERNMENT,G AH V ER N M AH N T
CITY,S IH T IY
COMPANY,K AH M P AH N IY
STORY,S T AO R IY
MOVE,M UW V
MUST,M AH S T
BAD,B AE D
FRIEND,F R EH N D
BEGIN,B IH G IH N
LOVE,L AH V
EACH,IY CH
HOLD,HH OW L D
AMERICAN,AH M EH R IH K AH N
LITTLE,L IH T AH L
EVER,EH V ER
WORD,W ER D
FACT,F AE K T
RIGHT,R AY T
ANYTHING,EH N IY TH IH NG
NOTHING,N AH TH IH NG
SURE,SH UH R
SMALL,S M AO L
MONTH,M AH N TH
PROGRAM,P R OW G R AE M
MAYBE,M EY B IY
RIGHT,R AY T
UNDER,AH N D ER
HOME,HH OW M
KIND,K AY N D
STOP,S T AA P
PAY,P EY
STUDY,S T AH D IY
SINCE,S IH N S
ISSUE,IH SH UW
NAME,N EY M
IDEA,AY D IY AH
ROOM,R UW M
PERCENT,P ER S EH N T
FAR,F AA R
AWAY,AH W EY
LARGE,L AA R JH
THOUGH,DH OW
PROVIDE,P R AH V AY D
LOSE,L UW Z
POWER,P AW ER
KID,K IH D
WAR,W AO R
UNDERSTAND,AH N D ER S T AE N D
HEAD,HH EH D
MOTHER,M AH DH ER
REAL,R IY L
BEST,B EH S T
TEAM,T IY M
EYE,AY
LONG,L AO NG
LONG,L AO NG
SIDE,S AY D
